archivo	banda	fuente
soda-stereo.png	Soda Stereo	https://commons.wikimedia.org/wiki/File:Soda_Stereo_Logo.png
metallica.png	Metallica	https://commons.wikimedia.org/wiki/File:Metallica_logo.png
the-beatles.png	The Beatles	https://upload.wikimedia.org/wikipedia/commons/3/33/The_Beatles_logo.svg
the-rolling-stones.png	The Rolling Stones	https://freebiesupply.com/logos/the-rolling-stones-tongue-logo/
led-zeppelin.png	Led Zeppelin	https://upload.wikimedia.org/wikipedia/commons/9/9e/Led_Zeppelin_logo.svg
queen.png	Queen	https://upload.wikimedia.org/wikipedia/commons/7/7c/Queen_logo.svg
pink-floyd.png	Pink Floyd	https://upload.wikimedia.org/wikipedia/commons/7/72/Pink_Floyd_logo.png
black-sabbath.png	Black Sabbath	https://upload.wikimedia.org/wikipedia/commons/0/0f/Black_Sabbath_%28Logo%2C_black%29.svg
acdc.png	AC/DC	https://upload.wikimedia.org/wikipedia/commons/5/58/Logo_ACDC.svg
nirvana.png	Nirvana	https://upload.wikimedia.org/wikipedia/commons/a/ad/NirvanaLogo.png
guns-n-roses.png	Guns N Roses	https://upload.wikimedia.org/wikipedia/commons/a/a6/GUNS_N%27_ROSES_logo.png
iron-maiden.png	Iron Maiden	https://upload.wikimedia.org/wikipedia/commons/c/ca/Iron_Maiden_logo.svg
u2.png	U2	https://freebiesupply.com/logos/u2-com-logo/
foo-fighters.png	Foo Fighters	https://freebiesupply.com/logos/foo-fighters-logo/
the-who.png	The Who	https://freebiesupply.com/logos/the-who-logo/
